Количество на 100г продукта:,"Жиры, г",Ккал
Печенье сахарное из муки 1 сорта,9.4,407
Печенье сахарное из муки высшего сорта,9.8,417
Печенье сдобное из муки высшего сорта,16.8,451
Пирожки жареные  с капустой из муки 1 сорта,10.5,230
Пирожки печеные простые из муки 1 сорта,7.3,250
Пластинки из цельно- молотой пшеницы,2.4,342
Пряники заварные из муки высшего сорта,4.7,366
Пряники сырцовые из муки высшего сорта,2.1,346
Пудинг рисовый,5.7,202
Рожки к чаю  из муки высшего сорта,5.6,312
Сдоба обыкновенная из муки 1 сорта,5.3,301
Семя льна,42.2,534
Соломка сладкая из муки 1 сорта,6.1,372
Суп  харчо с мясом и рисом,4.5,75
Суп перловый с грибами,1.2,43
Суп пшенный с мясом,2.2,57
Суп рисовый,1.1,38
Суп-пюре из рисовой крупы,1.3,48
Сухари армейские (из обойной ржаной  муки),2.0,294
Сухари армейские из муки 1 сорта,1.4,330
Сухари армейские из муки 2 сорта,1.9,323
Сухари армейские из обойной муки,2.3,304
Сухари сливочные из муки высшего сорта,10.8,399
Сушки простые из муки 1 сорта,1.3,331
Сушки простые из муки высшего сорта,1.2,339
Толокно овсяное,6.0,363
Хлеб бородинский (мука ржаная обойная и пшеничная 2 сорта),1.3,201
Хлеб зерновой  (мука в/с и зерно дробленое),1.4,228
Хлеб паляница из муки 1 сорта,1.0,243
Хлеб подовый  (из обдирной  ржаной муки),1.2,197
Хлеб подовый  (из сеяной ржаной муки),1.0,210
Хлеб подовый из муки 2 сорта,1.3,228
Хлеб подовый из обойной муки,1.5,208
Хлеб пшеничный  подовый из муки 1 сорта,1.0,235
Хлеб пшеничный формовой из муки высшего сорта,0.8,235
Хлеб рижский (мука ржаная сеяная и пшеничная 1 сорта),1.1,232
Хлеб соловецкий  (мука 1 и 2 сорта),1.2,237
Хлеб украинский (мука ржаная обдирная и пшеничная обойная),1.2,198
Хлеб формовой  (из обойной ржаной  муки),1.2,174
Хлебцы докторские (мука в/с и отруби пшеничные),2.6,242
Хлопья «Геркулес» овсяные,6.2,352
Агар,0.0,12
Вафли  с жировыми начинками,30.6,542
Вафли  с фруктово-ягодными начинками,3.3,354
Глазурь жировая,37.2,547
Глазурь шоколадная,34.5,542
Драже сахарное,0.0,393
"Зeфир,  глазированный  шоколадом",12.3,396
Зефир,0.1,326
Ирис полутвердый,7.6,408
Ирис тираженный  с орехом,15.9,443
Какао велла,4.5,147
Какао тертое,49.4,559
Какао-порошок,15.0,289
Карамель глазированная,0.8,378
Карамель леденцовая,0.0,384
Карамель с молочной начинкой,1.0,377
Карамель с фруктово-ягодной начинкой,0.1,371
Карамель с шоколадно-ореховой начинкой,8.0,427
Конфеты помадные,16.2,445
Конфеты шоколадные,26.3,491
"Конфеты, глазированные шоколадом, с грильяжными корпусами ",22.0,489
"Конфеты, глазированные шоколадом, с желейными корпусами",8.2,359
"Конфеты, глазированные шоколадом, с корпусами пралине",30.8,533
"Конфеты, глазированные шоколадом, с корпусами пралине  со слоями вафель",31.0,533
"Конфеты, глазированные шоколадом, с кремово-сбивными корпусами",25.8,463
"Конфеты, глазированные шоколадом, с помадными корпусами ",7.2,399
"Конфеты, глазированные шоколадом, со сбивными корпусами ",15.5,413
Крахмал картофельный,0.0,313
Крахмал кукурузный,0.6,343
"Мармелад  фруктово-ягодный, глазированный шоколадом",9.2,349
Мармелад желейный,0.0,321
Мед пчелиный,0.0,328
Мука из зародышей пшеницы,7.7,335
Пастила,0.0,324
"Пастила, глазированная шоколадом",12.0,402
Патока кукурузная,0.3,316
Пектин,0.0,52
Пирожное бисквитное  с белковым кремом,7.3,336
Пирожное вафельное молочное,36.7,572
Пирожное воздушное  с кремом,20.8,440
Пирожное заварное  с кремом (трубочка),24.5,433
Пирожное крошковое,19.4,388
Пирожное миндальное,16.2,433
Пирожное песочное  с кремом,28.2,485
Пирожное слоеное  с белковым кремом,26.0,461
Плитки кондитерские,34.6,537
Плитки кондитерские сладкие,34.2,552
Повидло морковное,0.4,282
Подварка апельсиновая,0.1,268
Подварка кабачковая,0.1,272
Подварка морковная,0.4,271
Подварка свекольная,0.1,269
Пралине с ржаной мукой,37.7,567
"Пралине с соевой мукой (*раффинозы и стахиозы менее 0,3%)",32.2,535
Рожь молотая жареная,1.7,322
Ром-баба,4.2,291
"Рулет бисквитный (производства ""Рошен"")",16.3,380
Сахар-песок,0.0,387
Сахар-рафинад,0.0,400
Сироп из шиповника,0.0,285
Торт бисквитный  с фруктовой начинкой,2.6,285
Торт миндальный,28.7,468
Торт слоеный,37.7,542
Фосфатидный концентрат соевый,93.7,843
Халва тахинно-арахисовая,29.2,502
Халва тахинно-шоколадная,28.1,498
Цукаты морковные,0.2,300
Чурчхела,15.0,410
Шикозин,99.6,897
Шоколад  молочно-ореховый,33.9,542
Шоколад  молочно-ореховый с изюмом,30.3,500
Шоколад горький,35.4,539
Шоколад молочный,34.7,554
Шоколад ореховый,33.8,534
Шоколад полугорький,35.4,549
Шоколад сладкий,34.0,550
Шоколад сливочный,35.5,560
Шоколадная паста,30.6,536
"Cливки пастеризованные 20,0% жирности",20.0,207
"Ацидофилин 1,0% жирности",1.0,40
"Ацидофилин 3,2% жирности",3.2,59
Ацидофилин нежирный,0.1,31
"Ацидофилин сладкий 3,2% жирности",3.2,77
Бри,66.0,802
"Варенец 2,5% жирности",2.5,53
Гауда,27.0,356
Дор Блю,29.0,353
"Йогурт  плодово-ягодный, 1,5% жирности",1.5,90
"Йогурт  сладкий 3,2% жирности",3.2,87
"Йогурт  сладкий 6,0% жирности",6.0,112
"Йогурт 1,5% жирности",1.5,57
